No.,Timestamp,SIDE,ENTRY,Take Profit,Stop Loss,R/R Ratio,Volatility Level,Outcome,Outcome %,Leverage,Margin,Session,TP Mode,ATR %,Setup Type,MAE,MFE,Exit Trade,Trend Regime,RSI at Entry,Relative Volume,Trend Slope,Exit Reason,Duration,Market Trend,Confidence Score
1,2025-05-16 08:20:00+00:00,LONG,103146.0,104694.0,102424.0,2.14,Moderate,SUCCESS,7.5,5x,50.0,Asia,FIXED,0.19,RSI Dip,-0.02,1.43,104694.0,TRENDING,18.63,0.95,-0.001,TP HIT,7.83,Bearish,0.8
2,2025-05-17 01:10:00+00:00,LONG,102966.0,104510.0,102245.0,2.14,Weak,SUCCESS,7.5,5x,50.0,Asia,FIXED,0.08,RSI Dip,-0.34,1.11,104510.0,TRENDING,26.06,2.41,-0.0012,TP WICK HIT,30.92,Bearish,1.0
3,2025-05-18 18:05:00+00:00,LONG,104187.0,105750.0,103458.0,2.14,Moderate,STOP LOSS,-3.5,5x,50.0,US,FIXED,0.25,RSI Dip,-0.83,0.6,103458.0,TRENDING,23.34,2.23,-0.0027,SL WICK HIT,1.92,Bearish,1.0
4,2025-05-19 03:50:00+00:00,LONG,103638.0,105192.0,102912.0,2.14,Moderate,STOP LOSS,-3.5,5x,50.0,Asia,FIXED,0.25,RSI Dip,-0.77,0.16,102912.0,TRENDING,25.7,2.16,-0.0011,SL HIT,1.0,Bearish,1.0
5,2025-05-20 07:40:00+00:00,LONG,105134.0,106711.0,104398.0,2.14,Weak,STOP LOSS,-3.5,5x,50.0,Asia,FIXED,0.13,RSI Dip,-0.83,0.31,104398.0,TRENDING,29.33,1.3,-0.0012,SL WICK HIT,5.92,Bearish,0.7
6,2025-05-21 17:45:00+00:00,LONG,106656.0,108256.0,105910.0,2.14,Strong,SUCCESS,7.5,5x,50.0,US,FIXED,0.41,RSI Dip,-0.46,1.64,108256.0,TRENDING,29.97,1.13,-0.0016,TP HIT,1.83,Bearish,0.7
7,2025-05-23 11:45:00+00:00,LONG,109778.0,111424.0,109009.0,2.14,Moderate,STOP LOSS,-3.5,5x,50.0,EU,FIXED,0.28,RSI Dip,-0.83,0.12,109009.0,TRENDING,18.91,11.05,-0.0023,SL WICK HIT,0.17,Bearish,1.0
8,2025-05-23 12:00:00+00:00,LONG,108635.0,110265.0,107875.0,2.14,Strong,STOP LOSS,-3.5,5x,50.0,EU,FIXED,0.39,RSI Dip,-1.2,0.26,107875.0,TRENDING,10.92,1.95,-0.0039,SL WICK HIT,0.25,Bearish,1.0
9,2025-05-23 12:20:00+00:00,LONG,108037.0,109658.0,107281.0,2.14,Strong,SUCCESS,7.5,5x,50.0,EU,FIXED,0.38,RSI Dip,-0.18,1.45,109658.0,TRENDING,11.83,1.39,-0.0016,TP WICK HIT,1.33,Bearish,0.8
10,2025-05-23 22:50:00+00:00,LONG,107676.0,109291.0,106922.0,2.14,Moderate,STOP LOSS,-3.5,5x,50.0,US,FIXED,0.23,RSI Dip,-0.81,0.25,106922.0,TRENDING,26.56,1.52,-0.0018,SL WICK HIT,0.92,Bearish,1.0
11,2025-05-24 23:00:00+00:00,LONG,108002.0,109190.0,107246.0,1.57,Moderate,STOP LOSS,-3.5,5x,50.0,US,FIXED,0.24,RSI Dip,-0.7,0.4,107246.0,UNCERTAIN,18.27,2.35,-0.0007,SL WICK HIT,2.25,Bearish,0.5
12,2025-05-25 08:50:00+00:00,LONG,107036.0,108213.0,106286.0,1.57,Moderate,SUCCESS,5.5,5x,50.0,Asia,FIXED,0.21,RSI Dip,-0.38,1.6,108213.0,UNCERTAIN,23.38,3.21,-0.0009,TP WICK HIT,13.33,Bearish,0.5
